"Christopher Darnton, ""The Provenance Problem: Research Methods and Ethics in the Age of WikiLeaks,""",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
NA,"TO FROM FOUND = y if at least one cable citation (even if in appendix) includes three things: author (can be ""embassy""), recipient (even ""State""), and repository.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOTAL,64,NA
NA,"U = u (for ""uncertain"") if I was unclear based on citations as to whether to code article as 3 or 2, i.e. whether article engaged leaked documents directly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 1.,NA,NA,NA,NA,NA
NA,"CABLE = Apparently discusses leaked US cables? (1=yes, 0=no, ??=unclear)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Title,Short Form,"Code 3 Articles, 2010-2020","Code 2 Articles, 2010-2020","TRIP Rank, 2011",First Code 3 Article
NA,PEER = peer reviewed journal (0 for FP and FA; else 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Foreign Policy,FP,25,0,9,2011
NA,"QUADRANT = concatenates CABLE and PEER; ""11"" therefore peer-reviewed articles citing cables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,International Affairs,IA,14,15,13,2011
NA,BODY LEAK = y if body text (not counting notes/bibliography) mentions leaked sources and/or WikiLeaks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,International Security,IS,10,6,3,2012
NA,"NUM CABLES = number of leaked cables specifically cited in article (if 0 or ??, see Notes  column)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Foreign Affairs,FA,10,0,4,2011
Additional Notes:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Security Studies,SS,9,4,14,2013
NA,Abbreviations: WL = WikiLeaks; USG = United States Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Review of International Studies,RIS,9,6,10,2013
NA,"International Security Winter issues span calendar years; I list these by first year, and include 2020/2021 (45:3) but not 2009/2010 (34:3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,International Studies Quarterly,ISQ,7,4,2,2012
NA,NA,NA,NA,NA,NA,NA,Data for Fig. 1,NA,NA,NA,NA,NA,NA,NA,Global Governance,GG,6,1,20,2014
NA,NA,NA,NA,NA,NA,NA,NA,Code 3,NA,NA,NA,"Code 2, All Journals",NA,NA,International Studies Review,ISR,4,1,17,2013
NA,NA,NA,NA,NA,NA,NA,NA,FA,FP,"FA+FP, Code 3","Peer Reviewed, Code 3",All,NA,NA,European Journal of International Relations,EJIR,3,4,7,2012
NA,NA,NA,NA,NA,NA,NA,2010,0,0,0,0,0,NA,NA,International Organization,IO,3,0,1,2017
NA,NA,NA,NA,NA,NA,NA,2011,3,12,15,3,6,NA,NA,Review of International Political Economy,RIPE,3,1,15,2012
NA,NA,NA,NA,NA,NA,NA,2012,1,7,8,5,6,NA,NA,American Political Science Review,APSR,2,1,5,2016
NA,NA,NA,NA,NA,NA,NA,2013,2,3,5,9,7,NA,NA,Comparative Politics,CP,2,1,19,2017
NA,NA,NA,NA,NA,NA,NA,2014,1,1,2,6,4,NA,NA,International Relations,IR,2,0,18,2015
NA,NA,NA,NA,NA,NA,NA,2015,1,1,2,7,3,NA,NA,Journal of Peace Research,JPR,2,1,16,2017
NA,NA,NA,NA,NA,NA,NA,2016,1,1,2,16,2,NA,NA,World Politics,WP,2,2,6,2013
NA,NA,NA,NA,NA,NA,NA,2017,0,0,0,8,6,NA,NA,American Journal of Political Science,AJPS,1,1,12,2015
NA,NA,NA,NA,NA,NA,NA,2018,1,0,1,10,1,NA,NA,Journal of Conflict Resolution,JCR,1,2,8,2016
NA,NA,NA,NA,NA,NA,NA,2019,0,0,0,11,7,NA,NA,Millennium: Journal of International Studies,MIL,1,2,11,2011
NA,NA,NA,NA,NA,NA,NA,2020,0,0,0,6,10,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,TOTAL,NA,NA,35,81,52,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Fig. 1,NA,NA,NA,NA,NA,NA,Fig. 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,5,LEAK and EUPH,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,TOTAL
NA,NA,NA,NA,NA,NA,NA,NA,6,CLASS and EUPH,NA,NA,NA,NA,NA,NA,NA,NA,??,1,Unclear
Articles,NA,NA,NA,NA,NA,NA,NA,4,CLASS and LEAK,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Non-peer, no cables"
565,TOTAL,NA,NA,NA,NA,NA,NA,3,"""WLC"" and EUPH",NA,NA,NA,NA,NA,NA,NA,NA,1,16,"Peer-reviewed, no cables"
397,Code 1,NA,NA,NA,NA,NA,NA,0.203125,0.140625,0.421875,0.328125,0.25,0.1875,NA,"(below: % unclear, among Code 3 & 2 articles)",NA,NA,10,35,"Non-peer, cables"
52,Code 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9285714285714288E-2,1,NA,11,64,"Peer-reviewed, uses cables"
116,Code 3,NA,NA,NA,NA,NA,NA,13,9,27,21,16,12,3,15,99,81,NA,27,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,Title,Author(s),J,V,N,Year,Notes,CLASS,NO SOURCE,NO USG,LEAK,EUPH,WLC,TO FROM FOUND,U,CABLE,PEER,QUADRANT,BODY LEAK,NUM CABLES
3,Democracy by Mistake: How the Errors of Autocrats Trigger Transitions to Freer Government,"Treisman, Daniel",APSR,114,3,2020,"p. 798 discusses analytic transparency and links to online appendix for discussion of ""range of sources"" for each case, including ""diplomatic cables"" (country, countries, source, and status not specified) and being careful to ""combat potential biases"" from each source. No cables directly cited in article (rather, analysis is of aggregate coded cases); the online appendix (""Democratization synopses mar 2020.pdf"") is 2,338 pages long, and includes direct citations with URLs (and titles and dates) to USG cables at WL, on pp. 721, 1162, 1442, 1998, 2285, and in bibliography on 2331, 2334. Most WL references include embassy origin; one includes a named author; one has neither but lists WL as source (p. 2334); none specify classification. Also, p. 939-941 discussing a WL-sourced article in NYT.",NA,NA,y,NA,NA,NA,y,NA,1,1,11,0,0
3,"The juche H-bomb? North Korea, nuclear weapons and regime-state survival","Howell, Edward",IA,96,4,2020,"fn. 82 is to an email from an individual to Stratfor, with title, date, and listed as ""WikiLeaks cable"" with email ID and no URL. (I'm not counting this email as a cable.) Fns. 50-51, 69, 85 cite cables as ""US Embassy,"" location, title, date, ""WikiLeaks cable"" and cable ID, without URL. All of these footnotes support empirical claims about North Korea, with no mention of USG or leaks in the body text. 4 Cables total (not counting email).",NA,NA,NA,NA,NA,y,NA,NA,1,1,11,0,4
3,The future war studies community and the Chinese revolution in military affairs,"Liao, Kai",IA,96,5,2020,"Body claim regards biographical details of non-US leaders; fn. 61 is to ""Global Intelligence Files,"" with document title and date and URL to WL. Unclear whether original document is governmental, and which government it's from; also unclear whether document is a US cable, but based on format and URL I estimate not. NOTE: footnote 61 is missing in the PDF available at OUP website, but appears in the HTML version.",NA,NA,NA,NA,NA,NA,NA,NA,0,1,01,NA,NA
3,Selective Wilsonianism: Material Interests and the West’s Support for Democracy,"Grigoryan, Arman",IS,44,4,2020,"fn. 29 cites a cable as title, WikiLeaks, date, and URL to WL; the empirical claim on 166-67 is not about the US. Fns. 58-60 each cite a cable, in same format; body discussion on p.71 includes reference to what ""one cable from the U.S. embassy"" said, with a quotation, and what ""another described."" fns. 70-72 add two cables; body p. 176 discusses and quotes a ""confidential cable"" from a named US diplomat as well as ""another cable"" from that embassy. p. 177 discusses an observation to which ""A cable sent to Washington from the U.S.
embassy... lends support;"" fn. 75 cites a cable as per previous notes. p. 180 makes empirical claim about non-US leader; fn. 81 quotes and cites ""One of the conªdential cables from the U.S. embassy"" (which fn. 82 also references). 8 cables total.",y,NA,y,NA,NA,NA,NA,NA,1,1,11,0,8
3,All Hegemons Are Not the Same: The Role(s) of Relational Structures and Modes of Control,"Nicholls, Daniel",ISR,22,3,2020,"p. 617-618 discusses what ""Washington"" was doing in foreign policy; parenthetical references include three ""US Embassy"" sources; end references clarify these are cables with URLs to WL. The next sentence (p. 618) likewise observes ""Washington""'s activity, with a parenthetical reference to another ""US Embassy"" source; endnotes clarify cable at WL with URL. No body mention of cable, leak or WikiLeaks, or specific diplomatic actors or authors. Citations include specific US embassy as author, along with year, title, and URL to WL (one of which is to ""wikileaks.openanthropology.org""). 4 cables total.",NA,NA,NA,NA,NA,NA,NA,NA,1,1,11,0,4
3,Bucking the Trend: The UAE and the Development of Military Capabilities in the Arab World,"Roberts, David",SS,29,2,2020,"Citation format varies: fns. 72, 89, 100, are to cables with title, date, and URL to WL, no mention of USG origin or classification; fn. 107 has title, date, and Wikileaks, but no ID or URL; fn. 109 lists 4 cables, three of which include named authors and URLS to WL along with titles and dates, but one is just a title and date with no origin, ID, or URL (some dates are listed as date ""accessed"" rather than authored, but this may not be correct); fn 111 cites a cable at WL with author, title, and date, but no URL or ID; fn. 117 cites two cables with title and date, one of which has URL to WL; fn. 121 cites 2 cables (one in short form, from fn. 107), the other with author, title, date, and URL to WL. 11 cables total. Fns. 72 and 89 support empirical claims about non-US countries; fn. 100 supports body claim on p. 320 about to what ""By 2009 US cables refer"" with a quote. fn. 107 supports p. 321 on what a named ""former US ambassador"" said, with a quote. p. 322 notes what ""Leaked US secret diplomatic cables frequently remark on,"" backed by fn. 109.",y,NA,y,y,NA,NA,NA,NA,1,1,11,1,11
3,"Radicalism on the Periphery: History, Collective Memory, and the Cultural Resonance of Jihadist Ideology in Tunisia","Marcusa, Michael",CP,51,2,2019,"fn. 60 cites 2 cables with titles, dates, IDs, and URLs to WL, but no mention of authorship or USG origin; citation supports an empirical observation about a non-US country, p. 189. No mention of cables or leaks in body of article.",NA,NA,y,NA,NA,NA,NA,NA,1,1,11,0,2
3,The Responsibility to Protect in a world of already existing intervention,"Dunford, Robin, and Michael Neu",EJIR,25,4,2019,"p. 1084 claims what ""Wikileaks cables from 2006 showed"" about US policy, with a quotation; citation is to a chapter of Julian Assange, ed. The WikiLeaks Files (Verso, 2015). Unclear whether the quotation here is to the author of the chapter (Robert Naiman), or to a source document quoted by that author. Because WikiLeaks published, and Assange edited, the volume (which shows a thumb drive on the cover) to review and excerpt leaked documents to reach a broad audience, rather than a third-party newspaper processing the sources, I am coding this as 3.",NA,NA,?,NA,NA,y,NA,NA,1,1,11,1,??
3,South Africa and Civil and Political Rights,"Jordaan, Eduard",GG,25,1,2019,"p. 174 body noted what ""A leaked diplomatic cable revealed..."" about a USG position at the UN; fn. 22 supports this with shorthand citation to ""US Government 2009;"" references at end show US Government, cable title and date (embassy authorship only indicated by cable ID in URL) with URL to WL",NA,NA,NA,y,NA,NA,NA,NA,1,1,11,1,1
3,Who Does Greenpeace India Represent? Placing Effective Limits on the Power of INGOs,"Thrandardottir, Erla, and Susanna Mitra",GG,25,4,2019,"two leaked documents from Indian Government's Intelligence Bureau, with URLs to scribd.com and documentcloud.com",NA,NA,NA,NA,NA,NA,NA,NA,0,1,01,NA,NA
3,Buying Allies: Payment Practices in Multilateral Military Coalition-Building,"Henke, Marina E.",IS,43,4,2019,"Many cables in footnotes are from 1960s era via US presidential libraries, or from 2000s via National Security Archive. Fns 127, 128, 130 cite US embassy documents ""available from author,"" from 2000s, origin unspecified. Citations include document title, date, and ""Embassy [location] to Department of State."" THree cables. These citations support claims about diplomatic actions and communications by ""the United States,"" ""the U.S. government,""  and ""U.S. diplomats"" respectively, as well as other governments' responses.",NA,y,NA,NA,NA,NA,NA,u,1,1,11,0,3
3,The Causes and Effects of Leaks in International Negotiations,"Castle, Matthew, and Krzysztof J Pelc",ISQ,63,4,2019,"Created a dataset of 120 leaks of trade negotiations (specifically, documents) through 2 sites, and p. 1151 acknowledged WikiLeaks as an original source for at least some leaks: ""We rely on the original site’s treatment of a leak (be it WikiLeaks, or Politico) and information about how a leaked country- position was described in articles on InsideUSTrade and bi- laterals.org."" No mention of ""cable"" in text; unable to determine from article or references whether USG cables were accessed, or what the leaked source documents were. No mention in article of online appendix or repication data.",NA,NA,NA,NA,NA,NA,NA,u,??,1,??1,NA,NA
3,Moral Hazard and Financial Crises: Evidence from American Troop Deployments,"Aklin, Michaël, and Andreas Kern",ISQ,63,1,2019,"Six cables cited in references. p. 16, 17, and 18 refer to ""private"" US communications such as ""memo[s];"" p. 19 block quotes a US ""internal report;"" these and other empirical claims on p. 17 are backed by parenthetical references to WL; references at end detail these as six cables, with titles, dates, cable IDs, and URLs to WL, but with author listed only as Wikileaks without details to USG origin. Footnote 1 states upfront ""We offer quantitative and qualitative evidence from many sources, such as the so-called Wikileaks embassy cables, to validate our interpretation of the data.""",NA,NA,y,NA,y,y,NA,NA,1,1,11,0,6
3,“Battling” for Legitimacy: Analyzing Performative Contests in the Gaza Flotilla Paradigmatic Case,"Wajner, Daniel F",ISQ,63,4,2019,"p. 1047 makes an empirical claim about the Obama administration, with a quote and parenthetical reference to Wikileaks; the source reference at end of article lists Wikileaks as author or source, has a a date, has a title that is a case number and document number, no clear origin or subject, and a URL to WL with a filename including ""clinton-emails,"" apparently a Hillary Clinton email obtained via WL; also, eight short quotation snippets offered on pg. 1042 based on Stratfor emails attributed to ""Wikileaks' access"" with no citations or references.",NA,NA,NA,NA,NA,NA,NA,NA,0,1,01,NA,NA
3,"Constitutive mechanisms of UN Security Council practices: Precedent pressure, ratchet effect, and council action regarding intrastate conflicts","Gehring, Thomas, and Thomas Dörfler",RIS,45,1,2019,"p. 131 explains, ""We also draw upon (unconfirmed) United States (US) diplomatic cables available online (WikiLeaks)."" p. 135-136 make a series of claims about states' actions at the UN (USG among others) with quotations; fns. 129-132 and 136 cite five US cables with titles, embassy or mission origin, year, and IDs, but without mentioning WL or providing URL.",NA,y,NA,NA,y,NA,NA,NA,1,1,11,1,5
3,Transnational Elite Knowledge Networks: Managing American Hegemony in Turbulent Times,"Parmar, Inderjeet",SS,28,3,2019,"p. 554 discusses ""leaked State Department diplomatic cables;"" fn 114 includes a citation to a cable with US embassy origin, title, date, and a URL to WL. p. 560 quotes a report by a named US diplomat; fn. 149 has title and date, with outlet listed as the Guardian and a URL indicating a direct document via WL. Fn 151 also refers to what ""leaked State Department cables"" contain, without citation.",NA,y,NA,y,NA,NA,NA,NA,1,1,11,1,2
3,Networked Cooperation: How the European Union Mobilizes Peacekeeping Forces to Project Power Abroad,"Henke, Marina E.",SS,28,5,2019,"p. 918 quotes a named French diplomat, in a section analyzing that country's foreign policy (i.e. without contextual reference to USG, cables, or leaks); this is supported by fn. 70, which reads: ""Cable, Embassy Paris to US secretary of state,"" with document title and date, followed by ""Document available from author;"" unclear whether this was classified and whether WL was source, because no source is provided.",NA,y,NA,NA,NA,NA,NA,u,1,1,11,0,1
3,Global Labor and the Arab Uprisings: Picking Winners in Tunisia and Egypt,"Hartshorn, Ian M",GG,24,1,2018,"fns. 19, 25, 28, and 30 cite 4 cables with just URLs and ID numbers, three to WL and one via cabledrum.net, with no reference to USG origin, title, or authorship. No reference to WL, leaks, or cables in body; p. 123 (cf. fn. 19) notes an Egyptian complaint to ""the US embassy,"" and fns. 25, 28, and 30 support empirical observations that do not mention the US",NA,NA,y,NA,NA,NA,NA,NA,1,1,11,0,4
